#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
46        	4         	ok              	1.9180000000e-04	1.9280000000e+02	1.5045671592e+16	7.2053959352e+15	5.1993456659e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	1.5920000000e-04	1.9370000000e+02	1.2430352583e+16	5.9529155236e+15	5.1993456653e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.3220000000e-04	1.9480000000e+02	1.0263902249e+16	4.9153990312e+15	5.1993456642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	1.0970000000e-04	1.9610000000e+02	8.4605586098e+15	4.0517749104e+15	5.1993456618e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	4         	ok              	9.1120000000e-05	1.9740000000e+02	6.9813042741e+15	3.3433576707e+15	5.1993456568e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	4         	ok              	7.5650000000e-05	1.9860000000e+02	5.7610240922e+15	2.7589635646e+15	5.1993456471e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	4         	ok              	6.2800000000e-05	1.9990000000e+02	4.7513481181e+15	2.2754281499e+15	5.1993456267e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	4         	ok              	5.2140000000e-05	2.0160000000e+02	3.9115645038e+15	1.8732544631e+15	5.1993455766e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	4         	ok              	4.3290000000e-05	2.0350000000e+02	3.2173118558e+15	1.5407758020e+15	5.1993454541e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	4         	ok              	3.5940000000e-05	2.0590000000e+02	2.6399255782e+15	1.2642646740e+15	5.1993451027e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	4         	ok              	2.9840000000e-05	2.0870000000e+02	2.1624508171e+15	1.0356014425e+15	5.1993440389e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	4         	ok              	2.4770000000e-05	2.1150000000e+02	1.7712719854e+15	8.4826571045e+14	5.1993410469e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	4         	ok              	2.0570000000e-05	2.1390000000e+02	1.4544290184e+15	6.9652993193e+14	5.1993339212e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	4         	ok              	1.7070000000e-05	2.1580000000e+02	1.1963269400e+15	5.7292577080e+14	5.1993192935e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	4         	ok              	1.4170000000e-05	2.1700000000e+02	9.8758828355e+14	4.7296215733e+14	5.1992954769e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	4         	ok              	1.1770000000e-05	2.1740000000e+02	8.1880462279e+14	3.9213282672e+14	5.1992661494e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	9.7700000000e-06	2.1680000000e+02	6.8154867081e+14	3.2640106174e+14	5.1992449171e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	8.1110000000e-06	2.1560000000e+02	5.6896605106e+14	2.7248457460e+14	5.1992343772e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	6.7340000000e-06	2.1390000000e+02	4.7612743597e+14	2.2802297334e+14	5.1992364272e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	5.5910000000e-06	2.1210000000e+02	3.9866685642e+14	1.9092601175e+14	5.1992415483e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	4.6420000000e-06	2.1030000000e+02	3.3383174694e+14	1.5987558270e+14	5.1992471006e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	3.8540000000e-06	2.0860000000e+02	2.7942128207e+14	1.3381773760e+14	5.1992507290e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	3.1990000000e-06	2.0710000000e+02	2.3361255015e+14	1.1187947458e+14	5.1992501821e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	4         	ok              	2.6560000000e-06	2.0590000000e+02	1.9508915804e+14	9.3430355433e+13	5.1992427747e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	4         	ok              	2.2050000000e-06	2.0490000000e+02	1.6275222472e+14	7.7944039987e+13	5.1992294631e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	4         	ok              	1.8310000000e-06	2.0430000000e+02	1.3554324918e+14	6.4913683637e+13	5.1992009233e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	4         	ok              	1.5200000000e-06	2.0400000000e+02	1.1268528057e+14	5.3967176572e+13	5.1991513055e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	4         	ok              	1.2620000000e-06	2.0400000000e+02	9.3556875307e+13	4.4806958444e+13	5.1990645264e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	4         	ok              	1.0480000000e-06	2.0450000000e+02	7.7499618189e+13	3.7117972635e+13	5.1988858178e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	4         	ok              	8.6970000000e-07	2.0540000000e+02	6.4028004488e+13	3.0667989631e+13	5.1985188428e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
